Tue Jan 22 21:10:00 BDT 2019
TimeStramp,ECG,SpO2,Respiration
21:10:00,-524.285,584.0,102.0
21:10:00,-2031.613,584.0,102.0
21:10:00,-458.75,584.0,102.0
21:10:00,-1114.111,584.0,102.0
21:10:00,-2031.613,584.0,102.0
21:10:00,-655.357,584.0,102.0
21:10:00,-2359.294,584.0,102.0
21:10:00,-786.43,584.0,102.0
21:10:00,-1048.573,584.0,102.0
21:10:00,-1835.005,584.0,102.0
21:10:00,-327.677,584.0,102.0
21:10:00,-1966.08,584.0,102.0
21:10:00,-655.359,584.0,102.0
21:10:00,-851.965,584.0,102.0
21:10:00,-1769.47,584.0,102.0
21:10:00,-196.606,584.0,102.0
21:10:00,-1900.542,584.0,102.0
21:10:00,-983.038,584.0,102.0
21:10:00,-2097.152,608.0,98.0
21:10:00,-589.821,608.0,98.0
21:10:00,-2293.758,608.0,98.0
21:10:00,-1245.182,608.0,98.0
21:10:00,-786.431,608.0,98.0
21:10:00,-983.04,608.0,98.0
21:10:00,1507.331,608.0,98.0
21:10:00,-458.749,608.0,98.0
21:10:00,-1114.11,608.0,98.0
21:10:00,-2490.368,608.0,98.0
21:10:00,-3997.694,608.0,98.0
21:10:00,-1245.184,608.0,98.0
21:10:00,-1900.541,608.0,98.0
21:10:00,-851.965,608.0,98.0
21:10:00,-524.288,608.0,98.0
21:10:00,-1769.469,608.0,98.0
21:10:00,131.075,608.0,98.0
21:10:00,-655.359,608.0,98.0
21:10:00,-327.677,608.0,98.0
21:10:00,-1835.006,608.0,98.0
21:10:00,-131.07,608.0,98.0
21:10:00,-1376.253,608.0,98.0
21:10:00,-458.751,608.0,98.0
21:10:00,393.216,608.0,98.0
21:10:00,-1179.647,608.0,98.0
21:10:00,393.217,608.0,98.0
21:10:00,-851.967,608.0,98.0
21:10:00,-262.141,608.0,98.0
21:10:00,524.289,608.0,98.0
21:10:00,-851.967,608.0,98.0
21:10:00,851.969,608.0,98.0
21:10:00,-720.893,608.0,98.0
21:10:00,-851.968,608.0,98.0
21:10:00,-393.215,608.0,98.0
21:10:00,-262.143,608.0,98.0
21:10:00,-1376.254,608.0,98.0
21:10:00,-1441.792,608.0,98.0
21:10:00,-655.357,608.0,98.0
21:10:00,-2293.759,608.0,98.0
21:10:00,-851.966,608.0,98.0
21:10:01,-1966.08,608.0,98.0
21:10:01,-2162.686,608.0,98.0
21:10:01,-1245.181,608.0,98.0
21:10:01,-2883.583,608.0,98.0
21:10:01,-1114.11,608.0,98.0
21:10:01,-1703.935,608.0,98.0
21:10:01,-1703.935,608.0,98.0
21:10:01,-458.751,608.0,98.0
21:10:01,-2031.613,608.0,98.0
21:10:01,-262.142,608.0,98.0
21:10:01,-917.501,608.0,98.0
21:10:01,-1310.717,608.0,98.0
21:10:01,-2031.615,608.0,98.0
21:10:01,-524.285,608.0,98.0
21:10:01,-1310.717,608.0,98.0
21:10:01,-1966.078,608.0,98.0
21:10:01,-655.358,608.0,98.0
21:10:01,-2162.688,608.0,98.0
21:10:01,-655.358,608.0,98.0
21:10:01,-1179.648,608.0,98.0
21:10:01,-2097.152,608.0,98.0
21:10:01,-655.36,608.0,98.0
21:10:01,-2031.614,608.0,98.0
21:10:01,-524.288,608.0,98.0
21:10:01,-1114.111,608.0,98.0
21:10:01,-2162.685,608.0,98.0
21:10:01,-589.822,608.0,98.0
21:10:01,-1769.47,608.0,98.0
21:10:01,-196.605,608.0,98.0
21:10:01,-2293.759,608.0,98.0
21:10:01,-1114.112,608.0,98.0
21:10:01,-2621.439,608.0,98.0
21:10:01,-1114.11,608.0,98.0
21:10:01,-851.967,608.0,98.0
21:10:01,-1638.4,608.0,98.0
21:10:01,0.001,616.0,97.0
21:10:01,-1703.934,616.0,97.0
21:10:01,-524.285,616.0,97.0
21:10:01,327.682,616.0,97.0
21:10:01,0.001,616.0,97.0
21:10:01,1179.648,616.0,97.0
21:10:01,-2293.759,616.0,97.0
21:10:01,-3080.191,616.0,97.0
21:10:01,-3080.192,616.0,97.0
21:10:01,-3276.799,616.0,97.0
21:10:01,-524.287,616.0,97.0
21:10:01,-1572.863,616.0,97.0
21:10:01,-262.144,616.0,97.0
21:10:01,-1376.256,616.0,97.0
21:10:01,262.146,616.0,97.0
21:10:01,-1114.112,616.0,97.0
21:10:01,-458.751,616.0,97.0
21:10:01,0.001,616.0,97.0
21:10:01,-1441.791,616.0,97.0
21:10:01,0.0,616.0,97.0
21:10:01,-1376.256,616.0,97.0
21:10:01,-786.43,616.0,97.0
21:10:01,-65.534,616.0,97.0
21:10:01,-1441.792,616.0,97.0
21:10:01,262.147,616.0,97.0
21:10:01,-786.43,616.0,97.0
21:10:01,-262.141,616.0,97.0
21:10:01,720.898,616.0,97.0
21:10:01,-589.824,616.0,97.0
21:10:01,-589.821,616.0,97.0
21:10:01,-851.966,616.0,97.0
21:10:01,-393.214,616.0,97.0
21:10:01,-1900.542,616.0,97.0
21:10:01,-327.678,616.0,97.0
21:10:01,-1507.327,616.0,97.0
21:10:01,-1769.469,616.0,97.0
21:10:01,-1048.573,616.0,97.0
21:10:01,-2555.904,616.0,97.0
21:10:01,-851.968,616.0,97.0
21:10:01,-1703.933,616.0,97.0
21:10:01,-1703.936,616.0,97.0
21:10:01,-786.429,616.0,97.0
21:10:01,-2555.904,616.0,97.0
21:10:01,-1114.111,616.0,97.0
21:10:01,-1703.933,616.0,97.0
21:10:01,-1507.326,616.0,97.0
21:10:01,-327.677,616.0,97.0
21:10:01,-917.504,616.0,97.0
21:10:01,-1638.4,616.0,97.0
21:10:01,-1966.079,616.0,97.0
21:10:01,-589.821,616.0,97.0
21:10:01,-2031.615,616.0,97.0
21:10:01,-458.752,616.0,97.0
21:10:01,-1048.573,616.0,97.0
21:10:01,-1441.789,616.0,97.0
21:10:01,0.001,616.0,97.0
21:10:01,-1769.469,616.0,97.0
21:10:01,-720.893,616.0,97.0
21:10:01,-1245.181,616.0,97.0
21:10:01,-1703.933,616.0,97.0
21:10:01,-131.072,616.0,97.0
21:10:01,-2031.615,616.0,97.0
21:10:01,-983.04,616.0,97.0
21:10:01,-1310.718,616.0,97.0
21:10:01,-720.895,616.0,97.0
21:10:01,-2228.222,616.0,97.0
21:10:01,-720.894,616.0,97.0
21:10:01,-589.821,616.0,97.0
21:10:01,-1441.789,616.0,97.0
21:10:01,0.0,616.0,97.0
